Unnamed: 0,NO,Description,Quantity,Unit price,Total Price p,Author,ISBN,Publisher
,48.0,Oxford English for information technology : Teacher's guide,10.0,52242.0,522416.0,Eric H. Glendinning,9783464134290,Cornelsen Verlag GmbH + C
,49.0,Panorama Reading 3 Student Book: Building Perspective Through Reading 1st Edition,1.0,8116.0,8116.0,Unknown Author,N/A,"Department of Health, Education, and Welfare, National Institute of Education"
,50.0,Python Machine Learning From Scratch - Step by Step Guide with Scikit-Learn and TensorFlow,6.0,75918.0,455506.0,Daniel Nedal,9781724264374,CreateSpace Independent Publishing Platform
,51.0,Transformative Artificial Intelligence (AI) Driverless Self-Driving Cars: Practical Advances in AI and Machine Learning,4.0,40129.0,160515.0,Lance Eliot,9780692085967,Lbe Press Publishing
,52.0,Python Machine Learning: A Technical Approach To Python Machine Learning For Beginners,6.0,26807.0,160843.0,Wei-Meng Lee,9781119545637,Wiley
,53.0,Robot is the Boss: How to do Business with Artificial Intelligence,4.0,157137.0,628547.0,Artur Kiulian,9780692945407,Artur Kiulian
,54.0,Building Intelligent Systems: A Guide to Machine Learning Engineering,4.0,41777.0,167107.0,Geoff Hulten,9781484234327,Apress
,55.0,"Hands-On Machine Learning with Scikit-Learn and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems 1st Edition",4.0,74737.0,298947.0,Aurélien Géron,9781492032618,O'Reilly Media
,56.0,Python Data Science Handbook: Essential Tools for Working with Data 1st Edition,12.0,77098.0,925181.0,Jake VanderPlas,9781098121198,O'Reilly Media
,57.0,Deep Learning (Adaptive Computation and Machine Learning series),4.0,103742.0,414966.0,"Ian Goodfellow, Yoshua Bengio, Aaron Courville",9780262035613,collection
,58.0,PHP & MySQL: The Missing Manual,12.0,26587.0,319046.0,"Ellie Quigley, Marko Gargenta",9780138006020,Pearson Education
,59.0,PHP and MySQL Web Development,10.0,72978.0,729784.0,"Luke Welling, Laura Thomson",9780672325250,collection
,60.0,Programming PHP: Creating Dynamic Web Pages ,12.0,35898.0,430781.0,"Kevin Tatroe, Peter MacIntyre",9781492054108,O'Reilly Media
,61.0,"Learning PHP, MySQL, JavaScript, & CSS: A Step-by-Step Guide to Creating Dynamic Websites",12.0,13650.0,163805.0,Robin Nixon,9781098152321,O'Reilly Media
,62.0,Murach’s PHP and MySQL,6.0,77098.0,462590.0,"Joel Murach, Ray Harris",9781943873005,collection
,63.0,"PHP In Action: Objects, Design, Agility: Modern Software Practices For Php",6.0,52378.0,314270.0,"Dagfinn Reiersol, Marcus Baker, Chris Shiflett",9788177227680,Dreamtech Press
,64.0,PHP: A Beginner’s Guide,11.0,60618.0,666802.0,Vikram Vaswani,9780071549028,collection
,65.0,Head First PHP & MySQL,12.0,36525.0,438295.0,"Lynn Beighley, Michael Morrison",9780596006303,collection
,66.0,PHP & MySQL Novice to Ninja,12.0,33426.0,401117.0,"Ellie Quigley, Marko Gargenta",9780138006020,Pearson Education
,67.0,The Joy of PHP Programming: A Beginner’s Guide to Programming Interactive Web Applications with PHP and MySQL,12.0,28153.0,337833.0,Alan Forbes,9781494267353,CreateSpace Independent Publishing Platform
,68.0,Learn Python 3 the Hard Way,12.0,36558.0,438691.0,Zed Shaw,9780133124347,collection
,69.0,Effective Computation in Physics: Field Guide to Research with Python,6.0,57954.0,347726.0,"Anthony Scopatz, Kathryn D. Huff",9781491901595,O'Reilly Media
,70.0,"Think Python: How to Think Like a Computer Scientist, 2nd edition",4.0,51665.0,206659.0,Allen B. Downey,9781098155438,"O'Reilly Media, Incorporated"
,71.0,"Invent Your Own Computer Games with Python, 4th edition",12.0,29702.0,356423.0,Al Sweigart,9781593277956,No Starch Press
,72.0,"Head-First Python, 2nd edition",12.0,87646.0,1051747.0,Not Found,N/A,Not Found
,73.0,Python Crash Course,12.0,39013.0,468157.0,Error,N/A,Error
,74.0,Lab Manual for Murach's HTML5 and CSS3,2.0,156066.0,312131.0,Not Found,N/A,Not Found
,75.0,Html5 a Complete Guide,3.0,139475.0,418426.0,"Bart Weller, Lori Calcott",9781430240150,collection
,76.0,HTML5 for Masterminds,2.0,40706.0,81411.0,J D Gauchat,9780991817870,John D Gauchat
,77.0,Mastering Bootstrap 4: Master the latest version of Bootstrap 4 to build highly customized responsive web apps,2.0,62954.0,125907.0,Unknown Author,9783036500263,MDPI AG
,78.0,"HTML, CSS, and JavaScript All in One",2.0,40706.0,81411.0,"Jennifer Kyrnin, Julie C. Meloni",9780672338083,collection
